OverallQual,GrLivArea,ExterQual,KitchenQual,GarageCars,TotalBsmtSF,BsmtQual,FullBath,GarageFinish,YearBuilt,FireplaceQu,SalePrice
7,7.444248649496705,4,4,2,6.752270376141742,4,2,2,2003,0,12.247694320220994
6,7.140453043101158,3,3,2,7.140453043101158,4,2,2,1976,3,12.109010932687042
7,7.487733761436444,4,4,2,6.824373670043086,4,2,2,2001,3,12.31716669303576
7,7.448333860897476,3,4,3,6.628041376179533,3,1,1,1915,4,11.84939770159144
8,7.6953031349635665,4,4,3,7.0431599159883405,4,2,2,2000,3,12.429216196844383
5,7.216709486709457,3,3,2,6.679599185844383,4,1,1,1993,0,11.870599909242044
8,7.434847875211999,4,4,2,7.430114138561801,5,2,2,2004,4,12.634603026569334
7,7.644919344958857,3,3,2,7.009408932708637,4,2,2,1973,3,12.206072645530174
7,7.480992162869525,3,3,2,6.858565034791365,3,2,1,1931,3,11.77452020265869
5,6.981934677156389,3,3,1,6.898714534329988,3,1,2,1939,3,11.678439903447801
5,6.946975992135418,3,3,1,6.946975992135418,3,1,1,1965,0,11.771436160121729
9,7.751045117971802,5,5,3,7.069023426578259,5,3,3,2005,4,12.751299696013497
5,6.815639990074331,3,3,1,6.815639990074331,3,1,1,1962,0,11.877568578558138
7,7.309212365692763,4,4,3,7.309212365692763,4,2,2,2006,4,12.540757571577291
6,7.133295954896068,3,3,1,7.133295954896068,3,1,2,1960,2,11.964001084330445
7,6.74993119378857,3,3,2,6.723832440821209,3,1,1,1929,0,11.790557201568507
6,6.911747300251674,3,3,2,6.911747300251674,3,1,3,1970,3,11.911701584927597
4,7.16703787691222,3,3,2,0.0,0,2,1,1967,0,11.407564949312402
5,7.01571242048723,3,4,2,7.01571242048723,3,1,1,2004,0,11.976659481202368
5,7.199678345691172,3,3,1,6.9363427358340495,3,1,1,1958,0,11.842229212112828
8,7.773173680482536,4,4,3,7.05444965813294,5,3,2,2005,4,12.692503112461443
7,7.010311867307229,3,4,1,6.456769655572163,3,1,1,1930,4,11.845102777308561
8,7.492760300922379,4,4,2,7.482681828154651,4,2,2,2002,4,12.345834587905333
5,6.966024187106113,3,3,2,6.946975992135418,4,1,1,1976,3,11.77452020265869
5,6.966024187106113,3,4,1,6.966024187106113,3,1,1,1968,3,11.944707881395766
8,7.3777589082278725,4,4,3,7.356279876550748,4,2,2,2007,4,12.454103912352162
5,6.802394763324311,3,4,2,6.802394763324311,3,1,1,1951,0,11.811547477460344
8,7.440733707389261,4,4,3,7.440733707389261,5,2,2,2007,4,12.631340380934517
5,7.3777589082278725,3,3,1,7.302496423727326,3,1,2,1957,4,12.24288661865289
4,6.253828811575473,3,2,1,6.253828811575473,3,1,1,1927,0,11.134589024250317
4,7.183111701743281,3,3,1,6.47543271670409,3,1,1,1920,0,10.596634733096073
5,7.113142108707088,3,4,1,7.113142108707088,3,1,1,1966,0,11.914047823644255
8,7.1180162044653335,4,4,2,7.1180162044653335,5,2,2,2007,0,12.100156419938624
5,7.438383530044307,3,4,2,7.242797922793756,3,1,2,1959,4,12.016726473799254
9,7.353081920515432,5,5,2,7.353081920515432,5,2,3,2005,4,12.533576212168626
8,7.804659297056102,4,4,3,7.018401799069201,5,3,3,2004,4,12.641096555879882
5,7.00033446027523,3,3,2,7.00033446027523,4,1,1,1994,0,11.884489021402711
5,7.167809184316444,3,3,2,7.167809184316444,3,1,3,1954,3,11.938193200374572
5,6.963189985870238,3,4,1,6.963189985870238,3,1,1,1953,0,11.59910316121128
